Event,Type,Net,Length,Maturity,Board number,Comment,Dorsal,Lateral,,Col9,Col10,Col11,Col12,Measurer
20,RTM8,2,57,FA2,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,55,FA2,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,59,FA2,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,56,FA2,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,55,FA3,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,59,FA3,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,56,FA3,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,57,FA3,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,55,FA3,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,58,FA3,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,59,FA3,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,58,FA3,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,57,FA3,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,53,FA2,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,51,FA2,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,51,FA2,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,51,FA2,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,49,MS2,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,53,MA2,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,56,MA2,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,59,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,56,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,58,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,52,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,55,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,60,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,59,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,59,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,57,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,57,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,52,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,57,FA3,4,,JR260B_krill_image_18.JPG,JR260B_krill_image_17.JPG,,,,,,sof
20,RTM8,2,52,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,57,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,59,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,57,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,55,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,51,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,59,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,55,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,54,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,58,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,56,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,59,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,52,MA2,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,57,FA2,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,52,MA2,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,54,FA2,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,50,FA2,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,57,FA3,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
20,RTM8,2,54,FA2,5,,JR260B_krill_image_20.JPG,JR260B_krill_image_19.JPG,,,,,,sof
28,RMT8,1,56,FA2,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,52,MS2,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,54,MA2,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,52,MA2,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,54,MA2,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,57,MA1,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,52,MA2,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,56,FA2,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,51,MA1,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,48,MS1,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,55,MA1,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,54,MA1,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,52,MA1,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,52,MA1,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,53,MA1,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,54,MA1,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,52,MA1,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,52,MA1,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,54,MA2,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,54,MA2,3,,JR260B_krill_image_26.JPG,JR260B_krill_image_25.JPG,,,,,,sof
28,RMT8,1,51,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,50,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,52,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,55,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,53,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,49,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,49,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,51,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,53,FA2,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,53,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,52,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,53,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,52,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
28,RMT8,1,53,MA1,4,,JR260B_krill_image_27.JPG,JR260B_krill_image_28.JPG,,,,,,sof
