Event,Type,Net,Length,Maturity,Board number,Comment,Dorsal,Lateral,,,,,,,,,Col5,Bin,Frequency,Col8
104,RMT8,1,39,MS1,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,35,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,33,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,40,MS1,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,40,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,35,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,43,MS1,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,36,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,42,MS1,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,46,MS2,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,34,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,34,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
